"Id","AllowableRace","Description","Name4","Name3","Name2","Name1","DmgVariance","DurationInInventory","QualityModifier","BagFamily","RangeMod","StatPercentageOfSocket1","StatPercentageOfSocket2","StatPercentageOfSocket3","StatPercentageOfSocket4","StatPercentageOfSocket5","StatPercentageOfSocket6","StatPercentageOfSocket7","StatPercentageOfSocket8","StatPercentageOfSocket9","StatPercentageOfSocket10","StatPercentEditor1","StatPercentEditor2","StatPercentEditor3","StatPercentEditor4","StatPercentEditor5","StatPercentEditor6","StatPercentEditor7","StatPercentEditor8","StatPercentEditor9","StatPercentEditor10","Stackable","MaxCount","RequiredAbility","SellPrice","BuyPrice","VendorStackCount","PriceVariance","PriceRandomValue","Flags1","Flags2","Flags3","Flags4","OppositeFactionItemId","MaxDurability","ItemNameDescriptionId","RequiredTransmogHoliday","RequiredHoliday","LimitCategory","GemProperties","SocketMatchEnchantmentId","TotemCategoryId","InstanceBound","ZoneBound1","ZoneBound2","ItemSet","LockId","StartQuestId","PageText","Delay","RequiredReputationId","RequiredSkillRank","RequiredSkill","ItemLevel","AllowableClass","ItemRandomSuffixGroupId","RandomProperty","MinDamage1","MinDamage2","MinDamage3","MinDamage4","MinDamage5","MaxDamage1","MaxDamage2","MaxDamage3","MaxDamage4","MaxDamage5","Resistances1","Resistances2","Resistances3","Resistances4","Resistances5","Resistances6","Resistances7","ScalingStatDistributionId","ExpansionId","ArtifactId","SpellWeight","SpellWeightCategory","SocketType1","SocketType2","SocketType3","SheatheType","Material","PageMaterial","PageLanguage","Bonding","DamageType","StatType1","StatType2","StatType3","StatType4","StatType5","StatType6","StatType7","StatType8","StatType9","StatType10","ContainerSlots","RequiredReputationRank","RequiredCityRank","RequiredHonorRank","InventoryType","OverallQualityId","AmmoType","StatValue1","StatValue2","StatValue3","StatValue4","StatValue5","StatValue6","StatValue7","StatValue8","StatValue9","StatValue10","RequiredLevel"
"25","-1","","","","","Worn Shortsword","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","35","1","1","1","0","24580","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1900","0","0","0","2","-1","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","3","1","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","21","1","0","0","0","0","0","0","0","0","0","0","0","1"
"35","-1","","","","","Bent Staff","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","47","1","1","1","0","24580","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2900","0","0","0","2","-1","0","0","3","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","2","2","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","17","1","0","0","0","0","0","0","0","0","0","0","0","1"
"36","-1","","","","","Worn Mace","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","38","1","1","1","0","24580","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1900","0","0","0","2","-1","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","3","2","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","21","1","0","0","0","0","0","0","0","0","0","0","0","1"
"37","-1","","","","","Worn Axe","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","38","1","1","1","0","24580","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2000","0","0","0","2","-1","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","3","1","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","21","1","0","0","0","0","0","0","0","0","0","0","0","1"
"38","-1","","","","","Recruit's Shirt","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","24580","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0"
"39","-1","","","","","Recruit's Pants","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","5","1","1","1","0","24580","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1"
"40","-1","","","","","Recruit's Boots","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","4","1","1","1","0","24580","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0"
"41","-1","","","","","OLDRecruit's Belt","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","1","1","1","16","24580","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","1"
"42","-1","","","","","OLDSquire's Belt","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","1","1","1","16","24580","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","1"
"43","-1","","","","","Squire's Boots","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","4","1","1","1","0","24580","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0"
