SpellId,EffectIndex,AuraType,Mechanic
16,0,7,0
25,0,12,0
56,0,12,12
101,0,12,0
113,0,26,7
118,0,5,17
122,1,26,0
228,1,27,17
260,0,6,0
339,0,26,7
408,0,12,12
451,0,27,9
498,0,25,25
512,0,26,7
530,0,2,0
605,0,2,1
692,0,12,0
700,0,12,10
710,0,12,18
720,1,12,0
731,1,12,0
745,0,26,7
771,0,6,1
775,1,12,0
785,0,6,0
800,1,12,0
804,2,26,0
835,0,12,12
851,2,60,17
853,0,12,12
861,0,27,9
865,1,26,0
949,0,12,0
1022,1,25,25
1062,0,26,7
1090,0,12,10
1098,0,6,1
1121,1,12,0
1513,0,7,5
1573,1,12,0
1776,2,12,14
1777,2,12,14
1833,0,12,12
1945,1,25,0
1968,0,12,0
1969,0,12,0
1970,0,12,0
1979,0,27,0
2070,0,12,14
2094,1,5,2
2128,1,12,0
2129,1,12,0
2497,0,12,0
2498,0,12,0
2499,0,12,0
2500,0,12,0
2501,0,12,0
2502,0,12,0
2503,0,12,0
2504,0,12,0
2505,0,12,0
2506,0,12,0
2637,0,12,10
2647,0,12,0
2854,0,12,0
2878,0,7,23
2880,0,12,12
2922,1,26,0
2924,1,26,0
2925,1,26,0
2937,0,12,10
3109,0,12,5
3143,0,12,12
3242,1,12,12
3260,0,12,0
3263,0,12,12
3271,0,12,0
3355,0,12,13
3442,0,6,0
3446,1,12,12
3542,0,26,7
3551,1,12,12
3589,0,27,9
3609,0,12,12
3618,0,12,0
3635,0,12,12
3636,0,12,10
3651,1,26,0
3651,2,27,0
4064,1,12,12
4065,1,12,12
4066,1,12,12
4067,1,12,12
4068,1,12,12
4069,1,12,12
4159,1,12,0
4167,0,26,0
4168,0,26,0
4169,0,26,0
4243,0,27,0
4246,0,26,0
4320,0,27,0
4538,1,12,0
4952,0,25,0
4962,0,26,7
5101,0,12,0
5106,0,12,12
5134,0,7,5
5164,0,12,12
5165,0,12,0
5195,0,26,7
5196,0,26,7
5198,0,12,0
5205,0,60,0
5211,0,12,12
5219,1,26,0
5246,1,7,5
5254,2,60,0
5260,1,12,0
5276,1,12,12
5391,1,25,0
