SpellVisualID,SpellVisualKitID
1,3
2,2
3,32
5,7
7,45
8,32
9,137
10,114
11,17
13,194
14,195
15,32
16,195
17,195
18,31
19,36
20,30
22,30
24,35
25,12
26,35
27,217
28,30
31,30
32,345
33,60
35,30
36,124
37,223
38,345
40,17
41,193
46,60
48,64
57,99
58,100
59,102
60,104
61,195
62,109
63,99
64,114
67,30
68,266
70,114
71,217
72,266
73,131
74,137
75,140
76,99
77,99
78,99
79,99
80,99
81,99
82,99
83,99
85,43
86,99
87,266
88,159
91,64
92,163
93,166
94,106
95,169
96,170
97,124
98,171
99,217
102,159
104,176
105,217
108,358
115,31
116,194
119,12
120,184
122,217
123,30
124,194
125,338
126,186
128,184
129,187
130,217
131,266
132,184
134,99
135,99
136,196
137,217
138,398
139,114
140,217
141,60
142,345
144,196
148,238
150,114
151,114
152,186
154,99
156,159
157,60
159,439
161,403
162,171
168,217
169,217
171,280
172,17
173,124
175,137
176,307
179,114
180,518
181,765
182,217
183,114
185,114
186,266
187,345
188,31
191,305
192,345
193,99
194,99
195,171
196,345
198,171
201,345
202,238
204,100
211,99
214,345
215,358
216,345
217,345
218,345
220,36
222,801
225,372
226,372
228,372
229,372
231,7
232,345
237,3436
238,30
239,266
241,345
242,60
245,386
248,80
252,397
258,345
259,197
263,266
267,171
271,266
272,30
274,345
275,427
278,99
279,217
280,99
283,171
284,266
285,99
286,5290
287,171
289,60
290,60
291,197
298,186
299,186
300,186
302,186
304,30
305,30
306,217
309,266
310,60
311,266
312,99
313,184
314,184
320,482
324,184
325,345
327,305
328,217
329,60
331,223
332,223
333,60
334,345
335,266
336,217
337,99
338,60
339,114
343,217
344,345
346,217
350,217
351,114
352,217
358,223
365,30
366,99
367,345
370,36
371,345
373,528
374,266
377,99
379,99
380,60
381,114
385,223
390,543
394,543
395,545
403,552
404,238
407,99
412,345
496,589
516,30
536,345
537,650
561,114
562,562
563,403
564,403
571,99
579,217
580,217
597,114
599,217
603,217
605,36
606,266
608,865
612,699
613,358
630,345
631,36
632,703
634,217
652,36
653,345
654,722
656,137
657,137
658,137
676,358
677,217
680,217
681,266
683,899
684,345
685,186
704,124
706,194
707,703
708,703
712,778
716,266
721,114
722,195
723,785
724,790
725,790
727,217
729,171
730,799
731,796
734,345
736,217
737,801
739,114
741,114
742,801
743,803
746,114
758,826
761,36
765,114
772,114
775,345
776,838
777,30
778,60
783,114
784,99
785,114
787,266
790,266
791,60
797,217
799,60
805,345
810,863
811,868
812,801
823,266
824,114
826,405
827,60
835,114
837,36
844,801
845,36
846,36
855,345
856,114
857,892
859,896
860,246
861,266
862,901
863,60
864,60
866,952
871,137
872,114
874,905
876,826
877,99
878,266
885,114
888,238
890,926
893,801
897,801
903,36
905,266
908,114
909,951
923,195
944,124
945,30
963,60
965,266
967,266
968,266
969,266
970,266
986,338
1003,124
1004,36
1005,1024
1007,195
1008,1304
1083,114
1084,266
1143,114
1144,266
1163,114
1165,43
1168,3789
1183,266
1204,801
1205,2991
1225,217
1243,899
1244,217
1246,1187
1264,266
1265,114
1266,217
1267,137
1268,266
1283,345
1304,801
1305,114
1344,266
1363,901
1383,1368
1384,403
1403,184
1443,193
1463,1545
1483,4451
1485,217
1505,790
1507,184
1523,1485
1543,187
1564,30
1583,114
1584,790
1585,60
