language_id,syllable
1,A
1,N
1,G
1,O
1,L
1,Ha
1,Ko
1,No
1,Mu
1,Ag
1,Ka
1,Gi
1,Il
1,Lok
1,Tar
1,Kaz
1,Ruk
1,Kek
1,Mog
1,Zug
1,Gul
1,Nuk
1,Aaz
1,Kil
1,Ogg
1,Rega
1,Nogu
1,Tago
1,Uruk
1,Kagg
1,Zaga
1,Grom
1,Ogar
1,Gesh
1,Thok
1,Dogg
1,Maka
1,Regas
1,Nogah
1,Kazum
1,Magan
1,No'bu
1,Golar
1,Throm
1,Zugas
1,Re'ka
1,No'ku
1,Maza
1,Ro'th
1,Thrakk
1,Revash
1,Nakazz
1,Moguna
1,No'gor
1,Goth'a
1,Raznos
1,Ogerin
1,Gezzno
1,Thukad
1,Makogg
1,Aaz'no
1,Lok'Tar
1,Gul'rok
1,Kazreth
1,Tov'osh
1,Zil'Nok
1,Rath'is
1,Kil'azi
1,Throm'ka
1,Osh'Kava
1,Gul'nath
1,Kog'zela
1,Ragath'a
1,Zuggossh
1,Moth'aga
1,Tov'nokaz
1,Osh'kazil
1,No'throma
1,Gesh'nuka
1,Lok'mogul
1,Lok'bolar
1,Ruk'ka'ha
1,Regasnogah
1,Kazum'nobu
1,Throm'bola
1,Gesh'zugas
1,Maza'rotha
1,Ogerin'naz
1,Thrakk'reva
1,Kaz'goth'no
1,No'gor'goth
1,Kil'azi'aga
1,Zug-zug'ama
1,Maza'thrakk
1,Lokando'nash
1,Ul'gammathar
1,Khaz'rogg'ahn
1,Moth'kazoroth
1,Golgonnashar
1,Dalggo'mazah
2,A
2,N
2,I
2,O
2,E
2,D
2,Da
2,Lo
2,An
2,Ni
2,Al
2,Do
2,Ri
2,Su
2,No
2,Ano
2,Dur
2,Tal
2,Nei
2,Ash
2,Dor
2,Anu
2,Fal
2,Tur
2,Ala
2,Nor
2,Osa
2,Alah
2,Andu
2,Dath
2,Mush
2,Shar
2,Thus
2,Fulo
2,Aman
2,Diel
2,Dieb
2,Rini
2,Anar
2,Talah
2,Adore
2,Ishnu
2,Bandu
2,Balah
2,Fandu
2,Thera
2,Turus
2,Shari
2,Shano
2,Terro
2,Eburi
2,Dorini
2,Shando
2,Ethala
2,Falla
2,Belore
2,Do'rah
2,Neph'o
2,Asto're
2,Man'ar
2,Ishura
2,U'phol
2,T'as'e
2,Anoduna
2,Alah'ni
2,Dor'Ano
2,Al'shar
2,Mush'al
2,Aman'ni
2,Shan're
2,Mandalas
2,Eraburis
2,Dorithur
2,Dal'dieb
2,Thoribas
2,D'ana'no
2,Il'amare
2,Neph'anis
2,Dune'adah
2,Banthalos
2,Fala'andu
2,Dath'anar
2,Shari'fal
2,Thori'dal
2,Thero'shan
2,Isera'duna
2,Ash'therod
2,Dorados'no
2,Shar'adore
2,U'phol'belore
2,Fandu'talah
2,Dor'ana'badu
2,Thoribas'no'thera
2,Turus'il'amare
2,Shari'adune
2,T'ase'mushal
2,Shindu'falla'na
2,Ando'meth'derador
2,Anu'dorannador
2,Anu'dorinni'talah
2,Esh'thero'mannash
2,Asto're'dunadah
6,We
6,Gar
6,Gear
6,Mitta
6,Mogoth
6,Geardum
6,Gefrunon
6,Mund-helm
6,Nagga-roth
6,Thros-am-Kha
6,Scyld-modor-ok
6,Lo
6,Dum
6,Kost
6,Angor
6,Modoss
6,Haldren
6,Misfaran
6,Ke
6,Kha
6,Khaz
6,Thros
6,Haldir
6,Thorneb
6,Khazrega
6,Angor-dum
6,Thros-gare
6,Azgol-haman
6,Gol'gethrunon
6,Zu
6,Dun
6,Modr
6,Gimil
6,Haldji
6,Godkend
6,Thulmane
6,Ok
6,Mos
6,Guma
6,Havar
6,Rugosh
6,Kost-um
6,Mogodune
6,Kost-Guma
6,Gar-Mogoth
6,Guma-syddan
6,Gimil-thumane
6,Um
6,Eft
6,Hine
6,Havas
6,Syddan
6,Zu-Modr
6,Azregahn
6,Ta
6,Red
6,Helm
6,Goten
6,Drugan
6,Ganrokh
6,Khaz-dum
6,Khaz-rand
6,Angor-Magi
6,Dun-haldren
6,Haldren-Lo-Modoss
6,A
6,Am
6,Hor
6,Rand
6,Modor
6,Skolde
6,Mok-kha
6,Moth-tur
6,Go
6,Ahz
6,Gosh
6,Modan
6,Farode
6,Dun-fel
6,Golganar
6,Midd-Havas
6,Ahz-Dagum
6,Robush-mogan
6,Haldji-drugan
6,Ga
6,Mok
6,Rune
6,Algaz
6,Bergum
6,Havagun
6,Gor
6,Hoga
6,Dagum
6,Modgud
6,Ok-Hoga
6,Arad-Khaz
6,Hoga-Modan
6,Ge'ar-anvil
6,Gosh-algaz-dun
6,Ruk
