ID,SpellVisualID
236579,222
236580,222
236581,222
236583,290
236584,289
236585,395
236587,222
236588,27
236589,222
236590,222
236591,222
236592,222
236593,222
236594,1709
236598,132
236599,263
236600,381
236602,289
236603,173
236604,563
236605,128
236606,222
236608,222
236609,27
236610,222
236611,222
236613,165
236614,280
236615,4
236616,263
236617,263
236618,220
236619,222
236620,222
236621,222
236622,222
236623,222
236624,652
236625,14
236626,34
236627,222
236629,222
236630,222
236631,154
236632,6839
236634,350
236635,127
236636,63
236637,140
236638,222
236639,222
236640,222
236641,222
236642,222
236643,222
236644,44
236645,607
236646,68
236648,1709
236649,128
236650,72
236651,563
236652,14
236653,4043
236654,3949
236655,121
236656,259
236657,6
236658,3
236659,201
236660,1703
236663,13
236664,34
236665,263
236666,263
236667,47
236668,2355
236669,6
236670,66
236671,222
236672,222
236674,62
236676,74
236677,67
236678,67
236679,67
236680,51
236682,4483
236683,58
236684,173
236686,222
236687,14
236688,9
236689,413
236690,181
236692,1709
236693,1709
236694,1709
236696,222
236697,222
236699,2936
236701,222
236702,222
236703,222
236704,154
236708,351
236710,160
236712,222
236713,222
236714,222
236715,71
236716,222
236717,222
236718,222
236719,222
236720,372
236721,155
236723,633
236724,107
236725,222
236726,5019
236728,34
236729,36
236731,222
236734,222
236736,177
236738,128
236739,34
236740,263
236741,263
236742,263
236743,38
236744,222
236745,222
236746,222
236748,7550
236749,194
236750,187
236751,377
236752,71
236754,217
236755,1703
236756,19
236757,66
236759,147
236760,679
236761,34
236762,34
236763,34
236764,36
236765,2936
236767,222
236768,187
236769,34
236771,39
236773,867
236774,263
236775,6440
236776,34
236777,17
236778,222
236779,222
236780,34
236782,39
236783,49
236784,147
236785,147
236786,147
236787,147
236788,263
236789,263
236790,222
236791,211
236792,306
236793,222
236794,222
236795,222
236796,251
236797,222
236798,222
236801,58
236803,222
236804,13
236805,107
236806,3223
236807,222
236808,128
236809,222
236810,1703
236811,1703
236812,1703
236813,86
236814,377
236817,138
236818,222
236819,222
236820,322
236821,222
236822,34
236823,130
236827,2816
236828,5
236829,5
236830,5
236831,6
236832,72
236833,222
236834,28
236835,222
236838,222
236839,222
236840,4054
236841,1523
236842,781
236843,189
236844,222
236845,222
236847,222
236848,222
236849,222
236850,51
236852,222
236853,2936
236854,222
236856,222
236857,64
236858,222
236859,222
236860,703
236861,189
236862,738
236863,36
236864,222
236865,64
236866,46
236867,177
236868,2936
236869,7420
236873,27
236875,222
236876,56
236877,101
236878,4228
236879,130
236880,222
236881,87
236882,28
236883,222
236884,222
236885,222
236886,222
236888,372
236889,173
236890,222
236892,34
236894,222
236895,222
236896,4839
236897,222
236898,222
236899,46
236900,222
236901,222
236902,222
236903,56
236904,147
236905,222
236906,222
236907,2936
236908,222
236909,222
236910,222
236911,34
236912,222
236913,684
236914,100
236916,107
236917,222
236918,757
236919,107
236920,107
236921,107
236922,263
236924,101
236925,101
236926,101
236927,51
236928,173
236929,222
236930,222
236931,222
236932,222
236935,201
236936,173
236937,222
236938,222
236939,7419
236940,6039
236941,222
236942,128
236943,222
236944,970
236945,137
236946,222
236947,222
236948,222
236949,222
236950,222
236952,222
236953,222
236954,107
236955,69
236956,13
236957,222
236959,6
236962,222
236964,124
236966,42
236970,263
236971,107
236972,107
236973,107
236974,339
236975,107
236976,107
236978,222
236979,222
236980,219
236981,181
236982,222
236983,222
236985,222
236989,28
236990,7313
236991,14
236992,107
236993,107
236994,107
236995,222
236996,107
236997,211
236998,969
236999,185
237001,633
237003,222
237004,3401
237005,46
237006,34
237008,214
237009,47
237010,398
237011,7298
237012,324
237013,7463
237014,222
237015,965
237016,4055
237017,633
237018,50
237019,50
237020,161
237022,222
237023,345
237026,39
237028,222
237030,222
237031,107
237033,107
237034,50
237035,50
237036,50
237037,163
237041,222
237044,47
237045,222
237046,17
237047,222
237049,7555
237050,222
237051,34
237052,32
237054,107
237055,107
237056,107
237059,107
237060,107
237062,222
237064,222
237067,58
237068,222
237069,56
237070,186
237071,222
237072,222
237073,222
237074,107
237076,107
237077,107
237080,107
237081,107
237082,107
237083,222
237084,4050
237085,113920
237086,222
237087,37
237088,222
237089,222
237091,37
237092,58
237093,58
237095,785
237096,222
237099,222
237100,7298
237101,107
237103,657
237104,222
237105,222
237108,154
237109,13
237110,146
237111,21
237112,64
237113,346
237114,222
237117,17
237118,107
237123,222
237124,222
237125,107
237126,107
237127,3949
237128,201
237129,222
237130,108
237132,3181
237134,107
237135,107
237136,107
237137,107
237138,107
237139,4859
237140,222
237141,50
237143,253
237144,107
237145,107
237146,107
237147,107
237148,107
237149,107
237150,107
237151,107
237152,107
237153,107
237154,107
237155,107
237156,107
237157,107
237158,107
237159,57
237160,3077
237161,107
237162,107
237163,107
237164,107
237165,107
237171,107
237173,107
237174,107
237175,42
237176,42
237177,1225
237178,58
237179,653
237180,7483
237181,7483
237186,3881
237187,107
237188,107
237189,107
237190,3179
237191,252
237194,107
237195,107
237196,107
237197,107
237198,107
237199,1225
237200,90
237201,750
237202,256
237205,123
237206,107
237207,107
237208,107
237209,107
237210,107
237211,107
237212,255
237213,107
237215,90
237216,90
237217,90
237218,107
237219,107
237220,278
237221,107
237222,107
237223,107
237224,107
237226,107
237227,107
237228,107
237229,107
237230,107
237231,107
237232,107
237233,6399
237235,107
237236,107
237237,107
237238,209
237239,3279
237241,32
237242,222
237244,222
237245,34
237247,1305
237248,3882
237249,28
237251,107
237253,107
237254,107
237255,107
237256,3301
237257,107
237258,107
237259,107
237260,107
237261,107
237262,107
237263,3
237264,215
237266,58
237268,222
237270,3881
237271,222
237272,121
237273,107
237275,107
237276,278
237277,107
237278,107
237279,64
237280,222
237281,147
237282,107
237283,107
237284,107
237285,107
237286,34
237287,107
237288,222
237289,36
237291,107
237292,222
237293,107
237294,222
237295,158
237296,158
237299,107
237300,34
237301,147
237302,87
237303,222
237305,222
237306,107
237307,107
237308,107
237310,222
237311,222
237312,222
237313,4228
237314,107
237315,107
237319,222
237320,107
237321,107
237322,3881
237323,3881
237324,3881
237325,222
237326,107
237327,1465
237328,1465
237329,189
237330,192
237331,222
237332,222
237333,27
237336,3326
237337,107
237338,107
237339,107
237340,107
237341,107
237342,107
237343,107
237344,671
237345,147
237346,289
237347,7379
237348,72
237349,222
237350,107
237351,824
237352,3326
237353,107
237354,107
237355,107
237356,38
237357,222
237358,3659
237359,107
237360,147
237361,107
237362,107
237363,222
237364,222
237365,107
237366,222
237367,222
237369,1168
237370,107
237371,107
237372,107
237373,3881
237374,222
237375,222
237376,107
237377,107
237378,107
237379,107
237380,107
237381,107
237382,107
237383,107
237384,107
237385,107
237386,107
237387,107
237388,222
237389,222
237390,222
237391,155
237392,155
237394,107
237395,107
237396,107
237397,107
237398,147
237399,147
237400,3442
237401,107
237402,107
237403,107
237404,107
237405,107
237406,107
237407,3882
237408,107
237409,107
237410,107
237411,107
237412,107
237413,107
237414,107
237415,107
237416,107
237417,965
237418,107
237419,107
237420,107
237421,107
237422,342
237423,223
237424,7472
237425,107
237426,107
237427,107
237428,253
237429,253
237430,263
237432,155
237433,1225
237434,261
237435,107
237436,50
237437,107
237438,222
237439,107
237440,107
237441,107
237442,107
237443,107
237444,149
237445,107
237446,50
237447,222
237448,100
237449,210
237450,107
237451,107
237452,107
237453,86
237454,222
237455,563
237456,222
237457,107
237458,107
237459,107
237460,107
237461,107
237462,107
237463,107
237464,107
237466,107
237467,107
237468,107
237469,107
237470,184
237471,107
237472,222
237473,107
237474,107
237476,107
237477,107
237478,107
237479,107
237480,47
237481,107
237482,107
237483,107
237484,107
237485,406
237486,107
237487,107
237488,107
237489,107
237490,184
237492,222
237493,222
237494,177
237495,1283
237496,107
237497,2643
237498,19
237499,107
237500,107
237501,107
237502,107
237503,107
237504,184
237505,107
237506,107
237507,107
237508,107
237509,107
237510,107
237511,90
237512,107
237513,107
237514,107
237516,107
237517,107
237518,726
237519,107
237520,107
237521,107
237522,775
237524,107
237525,107
237526,107
237527,107
237528,107
237529,107
237530,107
237531,107
237532,107
237534,107
237535,107
237536,107
237538,107
237539,107
237540,19
237542,222
237546,107
237548,107
237549,107
237550,222
237551,222
237552,107
237553,107
237554,107
237555,107
237556,107
237557,184
237558,107
237559,107
237560,107
237561,107
237562,6768
237563,27
237564,107
237565,46
237566,107
237567,107
237568,107
237569,107
237570,222
237571,278
237572,107
237573,107
237575,107
237576,107
237577,107
237578,107
237579,107
237581,50
237582,50
237583,107
237584,107
237585,221
237586,107
237587,222
237588,107
237589,653
237590,3302
237595,107
237596,107
237597,107
237599,107
237600,107
237601,0
237602,5
237603,74
237604,3439
237609,204
237610,192
237611,107
237612,3440
237613,3239
237614,51
237615,292
237616,101
237617,107
237618,107
237620,222
237621,107
237622,107
237623,107
237625,47
237626,107
237627,107
237628,107
237629,278
237630,107
237631,107
237632,130
237633,107
237634,107
237635,107
237636,107
237637,107
237638,107
237639,107
237640,107
237641,107
237642,107
237643,90
237644,90
237645,90
237646,107
237647,107
237648,107
237649,107
237650,107
237651,107
237652,107
237654,3884
237657,107
237658,107
237660,222
237661,34
237662,107
237663,107
237664,968
237665,222
237666,90
237667,64
237668,107
237669,107
237670,158
237671,51
237672,222
237673,107
237674,107
237675,107
237677,222
237679,32
237680,222
237681,107
237682,107
237683,107
237685,1165
237687,107
237688,107
237689,3881
237690,222
237691,107
237692,256
237693,107
237694,107
237695,107
237697,222
237698,107
237699,107
237700,107
237703,335
237704,335
237705,335
237706,335
237707,107
237708,107
237709,107
237710,289
237711,107
237713,107
237715,107
237716,107
237717,107
237718,107
237719,107
237720,107
237721,107
237722,107
237723,41
237724,316
237725,107
237728,101
237729,107
237730,107
237731,49
237732,49
237733,49
237734,107
237735,107
237736,107
237737,222
237738,107
237739,107
237740,107
237741,107
237742,39
237743,107
237744,107
237745,222
237746,107
237747,107
237748,107
237749,107
237750,107
237751,107
237752,107
237753,107
237754,107
237755,7298
237756,107
237757,107
237759,107
237760,107
237761,107
237762,107
237763,107
237764,107
237766,107
237767,107
237768,107
237769,107
237770,336
237771,107
237772,107
237773,107
237774,302
237776,300
237777,1266
237778,74
237780,107
237781,104
237783,107
237784,107
237785,107
237786,107
237787,107
237788,107
237789,34
237791,194
237792,222
237793,222
237794,222
237795,93
237796,93
237797,107
237798,107
237799,71
237800,107
237801,222
237802,107
237803,107
237804,107
237805,107
237807,51
237808,107
237809,107
237810,107
237811,107
237812,107
237813,107
237815,107
237816,84
237818,107
237819,107
237820,107
237821,107
237823,3443
237824,107
237825,107
237826,107
237828,107
237830,788
237831,312
237832,6439
237833,107
237834,1264
237835,107
237836,147
237837,215
237838,215
237839,222
237840,72
237843,107
237844,107
237845,557
237846,92
237847,92
237848,92
237849,92
237850,92
237851,107
237852,395
237853,222
237854,107
237855,98
237857,395
237858,395
237859,107
237860,107
237861,107
237862,222
237863,142
237864,142
237865,107
237866,709
237867,247
237870,107
237871,5
237872,6762
237873,314
237874,215
237875,5
237876,578
237877,34
237878,107
237879,4439
237880,4439
237881,19
237882,86
237883,47
237884,2276
237886,46
237887,346
237888,107
237889,107
237894,4439
237895,4439
237896,107
237897,395
237898,6762
237899,222
237901,107
237902,107
237903,107
237904,107
237905,107
237906,92
237907,854
237908,107
237909,351
237911,107
237912,395
237913,107
237914,107
237915,395
237917,4439
237918,4439
237919,4439
237920,107
237921,100
237922,107
237923,143
237926,107
237927,222
237928,395
237929,395
237930,107
237931,110
237932,107
237933,107
237934,6
237935,107
237936,107
237937,107
237938,395
237939,107
237940,107
237941,4439
237942,107
237943,2641
237944,107
237945,139
237946,107
237947,107
237948,924
237949,107
237950,222
237951,222
237952,183
237956,2918
237957,908
237958,395
237959,395
237960,2641
237961,395
237962,395
237963,34
237964,107
237965,395
237967,107
237968,7723
237969,107
237970,107
237971,107
237972,107
237973,64
237974,34
237975,107
237977,222
237978,147
237979,3779
237980,395
237981,395
237982,395
237983,395
237984,395
237985,4439
237986,19
237987,107
237988,107
237989,107
237990,107
237991,107
237992,107
237993,107
237994,107
237995,107
237996,222
237997,107
237998,107
237999,107
238000,239
238001,68
238002,74
238003,107
238004,107
238005,34
238006,395
238007,395
238008,784
238009,107
238011,222
238012,781
238014,107
238015,107
238016,107
238017,222
238019,39
238020,107
238021,395
238022,107
238023,253
238024,107
238025,107
238026,107
238027,107
238028,222
238029,107
238030,107
238031,107
238032,39
238033,107
238034,212
238035,7307
238036,3300
238037,3219
238038,107
238039,107
238040,107
238041,107
238042,107
238043,107
238044,107
238045,107
238046,749
238047,34
238048,395
238049,222
238050,107
238051,1168
238052,107
238053,4820
238054,34
238055,3299
238056,107
238057,19
238058,107
238059,708
238060,395
238061,395
238062,395
238063,1168
238064,1168
238065,632
238066,752
238067,707
238068,107
238069,556
238070,107
238072,147
238073,147
238074,107
238075,107
238076,222
238077,107
238078,107
238079,1168
238080,1168
238081,92
238082,92
238083,4499
238084,724
238085,107
238088,749
238089,107
238092,107
238093,107
238094,107
238095,395
238096,107
238097,107
238098,107
238101,107
238102,107
238103,723
238104,395
238105,215
238107,107
238108,107
238109,107
238110,34
238114,107
238115,107
238116,92
238117,107
238118,101
238119,107
238120,107
238121,107
238122,741
238123,44
238124,92
238125,633
238126,107
238127,1168
238128,107
238129,92
238130,215
238131,737
238132,107
238133,51
238134,253
238135,107
238138,343
238139,92
238141,567
238142,107
238143,1168
238145,222
238146,222
238148,107
238149,107
238150,107
238152,107
238153,91
238155,107
238156,107
238157,107
238158,107
238159,39
238160,97
238163,107
238164,107
238166,92
238167,4439
238168,4439
238169,107
238170,33
238171,39
238172,39
238173,107
238174,222
238175,92
238176,48
238178,107
238179,107
238180,107
238181,2641
238182,2641
238183,395
238184,395
238186,107
238187,222
238188,180
238189,180
238190,1168
238191,211
238192,71
238193,107
238194,395
238195,215
238196,395
238197,2643
238198,107
238200,4439
238201,4439
238202,107
238203,50
238204,750
238205,140
238206,107
238207,107
238209,107
238210,107
238213,107
238214,107
238215,222
238217,4439
238218,50
238219,50
238220,107
238221,107
238222,107
238223,215
238224,107
238225,108
238226,395
238227,34
238228,107
238229,107
238230,107
238232,186
238234,107
238235,107
238236,107
238237,107
238239,222
238242,107
238243,107
238244,55
238245,107
238246,1168
238247,1168
238248,107
238249,107
238250,107
238251,107
238252,107
238253,108
238254,108
238255,107
238256,107
238257,107
238258,107
238259,781
238260,107
238262,107
238263,344
238264,311
238265,107
238266,107
238267,107
238268,107
238269,107
238270,107
238271,107
238272,107
238273,107
238275,222
238276,5423
238277,107
238278,4052
238279,107
238281,107
238282,107
238283,108
238284,177
238285,43
238286,1168
238287,107
238288,107
238289,107
238290,107
238291,107
238292,3881
238293,3881
238294,3881
238295,3881
238296,107
238298,138
238299,222
238300,108
238302,107
238303,107
238304,135
238305,135
238306,107
238307,107
238308,107
238310,3881
238311,107
